direction,lookback,pre_bars,sweep_atr,wick_ratio,close_location,range_atr,premove_atr,body_max,h4,rr,max_hold,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,worst_year_r,worst_2y_r,is_trades,is_r,oos_trades,oos_r,score
long,48,12,0.05,0.55,0.75,1.2,1.6,0.5,align,1.2,24,36,61.111111111111114,9.916969969173902,0.2754713880326084,1.682138229873762,4.150357190541927,3,-3.089843659387965,-4.147442786663879,33,7.242053808938256,3,2.6749161602356457,25.473919954807332
long,48,12,0.05,0.55,0.75,1.2,1.6,0.65,align,1.2,24,36,61.111111111111114,9.916969969173902,0.2754713880326084,1.682138229873762,4.150357190541927,3,-3.089843659387965,-4.147442786663879,33,7.242053808938256,3,2.6749161602356457,25.473919954807332
long,48,12,0.05,0.55,0.75,1.2,0.8,0.5,align,1.2,24,38,60.526315789473685,10.025912474934719,0.26383980197196627,1.6432441350958717,4.150357190541927,3,-3.089843659387965,-4.147442786663879,34,6.193637897330414,4,3.8322745776043066,24.270736612476373
long,48,12,0.05,0.55,0.75,1.2,1.2,0.5,align,1.2,24,38,60.526315789473685,10.025912474934719,0.26383980197196627,1.6432441350958717,4.150357190541927,3,-3.089843659387965,-4.147442786663879,34,6.193637897330414,4,3.8322745776043066,24.270736612476373
long,48,12,0.05,0.55,0.75,1.2,1.2,0.65,align,1.2,24,38,60.526315789473685,10.025912474934719,0.26383980197196627,1.6432441350958717,4.150357190541927,3,-3.089843659387965,-4.147442786663879,34,6.193637897330414,4,3.8322745776043066,24.270736612476373
long,48,12,0.05,0.55,0.75,1.2,0.8,0.65,align,1.2,24,38,60.526315789473685,10.025912474934719,0.26383980197196627,1.6432441350958717,4.150357190541927,3,-3.089843659387965,-4.147442786663879,34,6.193637897330414,4,3.8322745776043066,24.270736612476373
long,24,6,0.05,0.55,0.75,1.2,1.2,0.65,align,1.2,24,72,59.72222222222222,18.267695522752486,0.2537179933715623,1.6039388403177135,5.068313716277788,3,-2.900163273433943,-4.991771200023006,60,14.036332696478176,12,4.2313628262743075,23.716645036552087
long,24,6,0.05,0.55,0.75,1.2,1.2,0.5,align,1.2,24,72,59.72222222222222,18.267695522752486,0.2537179933715623,1.6039388403177135,5.068313716277788,3,-2.900163273433943,-4.991771200023006,60,14.036332696478176,12,4.2313628262743075,23.716645036552087
long,24,12,0.05,0.55,0.75,1.2,1.6,0.5,align,1.2,24,70,58.57142857142858,15.967456646520668,0.22810652352172384,1.5277944278613382,4.140126837473084,3,-2.900163273433943,-3.957762400709857,57,12.774969424105919,13,3.1924872224147505,22.943555494893193
long,24,12,0.05,0.55,0.75,1.2,1.6,0.65,align,1.2,24,70,58.57142857142858,15.967456646520668,0.22810652352172384,1.5277944278613382,4.140126837473084,3,-2.900163273433943,-3.957762400709857,57,12.774969424105919,13,3.1924872224147505,22.943555494893193
