label,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,oos_trades,oos_total_r,family,shelf_bars,shelf_range,shelf_hold,breakout_buffer,body,close_location,adx_max,range60_max,ema_slope_mode,rr,stop_buffer,max_hold,entry_mode,target_basis,robust_min_trades
SHELFGRID_B4_R1.2_H0.4,55,49.09090909090909,11.597168143867666,0.21085760261577574,-1.0088589565260278,1.4052751824740786,8.178474077415299,8,1.135139498211563,0.8120608425472282,10.345454545454546,3,1.9735034092254162,entry_shelf,4,1.2,0.4,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B4_R1.2_H0.5,52,50.0,12.17663655260455,0.23416608755008753,0.20182356304049154,1.4583696678033076,7.154292198979377,7,1.1582537038425404,0.7878741985521825,10.5,3,1.9735034092254162,entry_shelf,4,1.2,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B4_R1.2_H0.6,48,45.83333333333333,6.188214526635587,0.12892113597157473,-1.010135517747553,1.232977002890237,7.154292198979377,7,1.1156922064351098,0.8265482081737409,9.333333333333334,3,1.9735034092254162,entry_shelf,4,1.2,0.6,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B4_R1.5_H0.4,82,50.0,19.059308897454656,0.23243059631042262,0.19501666524294392,1.4550697684347385,10.859170254334586,5,1.1535840397649713,0.8295792105088513,11.75609756097561,7,2.9111243939141676,entry_shelf,4,1.5,0.4,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B4_R1.5_H0.5,75,50.66666666666667,18.7231067472569,0.24964142329675865,1.401180790569046,1.4955987337386671,8.805349670659135,4,1.1659949363842903,0.8198701931666865,11.946666666666667,7,2.9111243939141676,entry_shelf,4,1.5,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B4_R1.5_H0.6,71,50.70422535211267,17.589140927820765,0.24773437926508118,1.401180790569046,1.4921817343312271,7.283442362794484,4,1.1684309764538965,0.8021790567629161,11.746478873239436,7,2.9111243939141676,entry_shelf,4,1.5,0.6,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B4_R1.8_H0.4,93,48.38709677419355,18.20589676786357,0.1957623308372427,-1.0111474600831583,1.3714829752813547,14.447065958785164,7,1.1283208359462653,0.8691496067757958,12.182795698924732,7,2.9111243939141676,entry_shelf,4,1.8,0.4,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B4_R1.8_H0.5,86,48.837209302325576,17.86969461766582,0.20778714671704443,-1.009196347243368,1.3979418517766302,12.393245375109712,6,1.137087985012754,0.8639032866967986,12.383720930232558,7,2.9111243939141676,entry_shelf,4,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B4_R1.8_H0.6,80,50.0,18.77301812262624,0.234662726532828,0.18930816676483908,1.4598263012927142,8.315802728872926,5,1.1614148306077454,0.845128157736395,12.425,7,2.9111243939141676,entry_shelf,4,1.8,0.6,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B4_R2.1_H0.4,94,48.93617021276596,19.642402305226682,0.20896172665134768,-1.009196347243368,1.4008325057857205,11.994923989538593,7,1.140961260009355,0.8723294569159027,12.308510638297872,8,1.8954879620307068,entry_shelf,4,2.1,0.4,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
