symbol,timeframe,variant,rr,max_hold_bars,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,target_hit_pct,stop_hit_pct,oos_trades,oos_total_r
GBPJPY,H1,B_BREAK,2.0,120,169,56.80473372781065,54.31434650502374,0.32138666571019964,0.3217482046861283,1.7728520595452133,8.962667864998075,8,1.1221124240508433,0.6910056397107814,73.3905325443787,26.627218934911244,39.053254437869825,23,9.868298895750401
GBPJPY,H1,B_BREAK,1.5,120,169,59.171597633136095,46.28081694805485,0.2738509878583127,0.39826313186294854,1.688320844815673,8.70413299106081,8,0.9734247574837507,0.6752980791932779,63.50887573964497,36.68639053254438,37.8698224852071,23,8.547865910130284
GBPJPY,H1,B_BREAK,2.0,48,169,53.84615384615385,31.0301013263616,0.18361006701989113,0.06157781123713116,1.5481171761978083,7.19448860656955,6,0.8534628355136725,0.5822753530108303,39.875739644970416,12.42603550295858,23.668639053254438,23,2.5504508611273615
GBPJPY,H1,B_BREAK,1.0,120,169,62.721893491124256,29.88844612555841,0.17685471080212076,0.9603015279248341,1.4895247321968608,8.735556602609895,8,0.7698447414814028,0.6403566068256132,51.14792899408284,49.70414201183432,34.319526627218934,23,5.458673838999957
XAUUSD,H4,B_BREAK,2.0,48,71,63.38028169014085,28.930351960385096,0.40746974592091684,0.24148899441103086,2.580158437915517,5.551207246948005,7,1.0228422076001962,0.5677522176467508,39.16901408450704,21.12676056338028,19.718309859154928,7,4.254395980458023
XAUUSD,H4,B_BREAK,2.0,120,71,56.33802816901409,26.864668582833108,0.37837561384271984,0.2950885389243468,1.977175175308693,7.1034374721468865,7,1.231461410559487,0.6999959900411468,72.19718309859155,29.577464788732392,33.80281690140845,7,1.975646905500651
GBPJPY,H1,PULLBACK_REACCEL,1.5,120,157,52.22929936305732,26.577688314795303,0.1692846389477408,0.22379988362574985,1.372069692994422,8.102640473149778,6,0.9809838789223427,0.770816063755798,50.853503184713375,37.57961783439491,42.675159235668794,22,1.0804010287247974
GBPJPY,H1,B_BREAK,1.5,48,169,53.84615384615385,24.590816400560534,0.1455077893524292,0.06157781123713116,1.4343733429714332,6.10510010859495,6,0.7860340553996407,0.5822753530108303,37.49704142011834,20.118343195266274,23.668639053254438,23,2.9262636201281067
XAUUSD,H4,B_BREAK,1.5,48,71,64.7887323943662,24.38955559523656,0.3435148675385431,0.3670447673994189,2.3502656059432057,5.551207246948006,7,0.923386299763479,0.5621317956803381,36.66197183098591,25.352112676056336,19.718309859154928,7,4.160854227245624
XAUUSD,H4,B_BREAK,1.5,120,71,59.154929577464785,23.83863848475022,0.3357554716162003,0.4648618784393316,1.9355134376816412,7.1034374721468865,7,1.06644589028355,0.6725587049153134,62.943661971830984,40.845070422535215,30.985915492957744,7,3.4756469055006476
