symbol,timeframe,strategy,family,signal_time,direction,trigger_type,v_start_i,v_extreme_i,candidate_i,v_start,v_extreme,v_move_atr,v_move_bars,v_drop_speed_atr_per_bar,candidate_recovery_bars,candidate_recovery_to_drop_bars,signal_recovery_bars,signal_fib_ratio,candidate_fib_min,candidate_fib_max,trigger_level,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,period,open,high,low,close,atr,body_ratio,ema20,ema50,ema200,ema20_slope_10_atr,rsi14,adx14,bb_width_atr,bb_pos,donchian20_high_prev,donchian55_high_prev,donchian20_break,donchian55_break,atr50,atr_ratio_50,atr_pctile_252,close_location,range5_atr,macd,macd_signal,macd_hist,macd_hist_slope3,stoch_k14,stoch_d3,cci20,roc10,williams_r14,chop14,aroon_up25,aroon_down25,ichi_tenkan,ichi_kijun,ichi_cloud_top,ichi_cloud_bottom,kc_mid,kc_pos,bb_kc_width_ratio,month,year,trade_id,rule_name,rule_label
XAUUSD,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2015-07-27 04:00:00,long,stagnation+rebreak,2483,2488,2492,1105.873,1077.219,3.782627603358024,5,0.7565255206716048,4,0.8,8,0.9279681719829664,0.618,0.8,1103.809,2015-07-27 08:00:00,1103.801,1075.3252106157,1160.7765787686,2015-08-21 00:00:00,1160.7765787686,TP,115,28.475789384300015,2.00084282123583,1.9885516782133612,Research_2015_2024,1097.95,1105.001,1096.689,1103.809,7.575157537200446,0.7048845043310871,1096.860834583143,1111.1267229690395,1149.47016842136,-0.717125531446779,53.72269790435295,52.44482505243374,3.699599048682231,0.8689075172555392,1105.873,1159.738,False,False,6.57908861600472,1.1513992255359844,91.26984126984128,0.8565928777670812,2.7316923639382824,-3.965918223497738,-6.913789949751202,2.9478717262534637,0.975073120891107,92.79681719829664,78.43000395523586,61.33181559750836,1.4111823337611409,-7.203182801703352,51.47291165483722,4.0,68.0,1091.11,1093.549,1113.59,1092.3295,1096.860834583143,0.7293076210869393,0.9248997621705578,2015-07,2015,XAUUSD|2015-07-27 08:00:00|stagnation+rebreak|2483-2488,STRICT_A_PLUS,BB 0.85-0.95 / recovery<=16 / MACD>0.02 / BB width<=4ATR / weak rebreak guard
AUDJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2016-10-03 20:00:00,long,stagnation,4410,4416,4418,78.17,76.494,4.698578365130716,6,0.7830963941884528,2,0.3333333333333333,11,1.0429594272076388,0.618,0.8,78.242,2016-10-04 00:00:00,78.242,76.40482409030155,81.91635181939692,2016-11-09 00:00:00,81.91635181939692,TP,161,1.837175909698459,2.0,1.9931960788653929,Research_2015_2024,77.955,78.287,77.902,78.242,0.3567036387938109,0.7454545454545515,77.60337489688268,77.33378052347052,77.31389672679815,1.0055336934877188,65.76535234708467,13.01228264541373,3.996782438793387,0.9384965566497756,78.17,78.17,True,True,0.3544234635128968,1.006433477226124,80.15873015873017,0.8831168831168802,2.326861600870256,0.21607188090438,0.1610287560842813,0.0550431248200986,0.0308567682071224,97.49023982152808,93.52098201637538,97.1479441135612,1.389140857846316,-2.5097601784719212,39.23742152336027,100.0,56.0,77.83000000000001,77.3905,77.61025000000001,77.2345,77.60337489688268,0.9475880210227352,0.9991956096983468,2016-10,2016,AUDJPY|2016-10-04 00:00:00|stagnation|4410-4416,STRICT_A_PLUS,BB 0.85-0.95 / recovery<=16 / MACD>0.02 / BB width<=4ATR / weak rebreak guard
CHFJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2016-11-30 08:00:00,long,rebreak,4662,4674,4678,111.889,110.247,3.620436711821172,12,0.301703059318431,4,0.3333333333333333,9,0.8544457978075575,0.618,0.8,111.65,2016-11-30 12:00:00,111.66,110.13361588844802,114.68276822310398,2016-12-14 20:00:00,114.68276822310398,TP,64,1.5263841115519767,1.9803457073662345,1.967242845610372,Research_2015_2024,111.01,111.719,110.988,111.65,0.4535364462079018,0.8755129958960401,111.0149017836666,110.50801476556153,108.1868772001364,0.224582536334055,62.7037216078147,20.828838815174873,3.3015015088082587,0.9008411489344242,111.796,111.889,False,False,0.4102572873655045,1.1054927241398136,86.11111111111111,0.905608755129974,1.9248728680997904,0.1594606102756302,0.14143145039217,0.0180291598834601,0.0470570969319105,95.31250000000075,75.58486012608341,73.42583033644154,0.8335816919089245,-4.687499999999231,55.12875845816843,16.0,64.0,111.009,111.068,111.0385,110.4805,111.0149017836666,0.850081135509382,0.8253753772020647,2016-11,2016,CHFJPY|2016-11-30 12:00:00|rebreak|4662-4674,STRICT_A_PLUS,BB 0.85-0.95 / recovery<=16 / MACD>0.02 / BB width<=4ATR / weak rebreak guard
USDJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2016-12-07 04:00:00,long,stagnation,4687,4700,4703,114.824,112.876,4.028355615318696,13,0.3098735088706689,3,0.2307692307692307,14,0.7525667351129358,0.618,0.8,114.342,2016-12-07 08:00:00,114.341,112.75510699885878,117.51578600228244,2016-12-15 00:00:00,117.51578600228244,TP,35,1.5858930011412156,2.001891678693238,1.9955860830491468,Research_2015_2024,114.049,114.404,114.048,114.342,0.4835720045649149,0.8230337078651592,113.92801713694392,113.31572598301368,109.48548467354208,0.3190985781787985,61.01910185349944,11.430133824188824,2.2492150984378436,0.8958047623141269,114.775,114.824,False,False,0.5674820359683236,0.8521362332461703,51.19047619047619,0.8258426966292175,1.5220070497302516,0.1828912072637223,0.1911370009909604,-0.0082457937272381,0.026131323671239,73.25509573810952,65.45750865484807,117.5307087742426,-0.0445831475702207,-26.74490426189049,55.0426502157818,60.0,44.0,113.9525,113.8255,113.889,113.0915,113.92801713694392,0.7140233818066829,0.5623037746094609,2016-12,2016,USDJPY|2016-12-07 08:00:00|stagnation|4687-4700,STRICT_A_PLUS,BB 0.85-0.95 / recovery<=16 / MACD>0.02 / BB width<=4ATR / weak rebreak guard
XAUUSD,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2017-05-26 04:00:00,long,rebreak,5403,5410,5414,1263.728,1247.952,3.634503442325443,7,0.5192147774750633,4,0.5714285714285714,12,0.8462221095334592,0.618,0.8,1261.302,2017-05-26 08:00:00,1261.311,1246.8668448852543,1290.1723102294911,2017-06-06 08:00:00,1290.1723102294911,TP,44,14.444155114745628,1.9981307317883563,1.9738994771930056,Research_2015_2024,1257.118,1263.971,1257.091,1261.302,4.34062045898248,0.6081395348837068,1256.268349106887,1252.093602215685,1249.19069261324,0.5662104852083352,62.4990571654309,16.642776013095897,3.307905212714128,0.8611589083590395,1263.728,1265.002,False,False,4.754804974721014,0.9128913766304712,33.33333333333333,0.6120639534883643,2.5187643341115535,1.4799556275577288,1.4195678071608433,0.0603878203968855,0.2470954299784022,83.33853548910609,74.58091630002856,110.42279845659442,0.8112523498343904,-16.66146451089391,47.659867618794024,100.0,52.0,1258.5045,1255.9615,1257.233,1246.99,1256.268349106887,0.7899154015352998,0.826976303178532,2017-05,2017,XAUUSD|2017-05-26 08:00:00|rebreak|5403-5410,STRICT_A_PLUS,BB 0.85-0.95 / recovery<=16 / MACD>0.02 / BB width<=4ATR / weak rebreak guard
USDJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2018-10-30 00:00:00,long,rebreak,7752,7757,7763,112.674,111.377,4.313017123771187,5,0.8626034247542375,6,1.2,10,0.9876638396299112,0.618,0.8,112.658,2018-10-30 04:00:00,112.659,111.30182060917105,115.37035878165794,2018-12-10 04:00:00,112.639,max_hold,180,1.3571793908289749,-0.014736445406671,-0.022104668109996,Research_2015_2024,112.324,112.711,112.303,112.658,0.3007175633158509,0.8186274509803975,112.2440340035364,112.3176026712478,112.40024687240012,-0.0258317912299364,60.4578381193309,21.298738005732012,3.8177243858428462,0.9153975748415392,112.674,112.885,False,False,0.2606647312449075,1.153656506883978,93.25396825396824,0.8700980392156934,2.7833425848854794,0.0115503525492925,-0.0635644465136515,0.0751147990629441,0.0346247480318031,96.02698650674684,84.55670906097349,98.14853754219232,0.9082440614811338,-3.973013493253159,46.3666750374103,12.0,60.0,112.233,112.0605,112.14675,112.131,112.2440340035364,0.844148502584127,0.9544310964607116,2018-10,2018,USDJPY|2018-10-30 04:00:00|rebreak|7752-7757,STRICT_A_PLUS,BB 0.85-0.95 / recovery<=16 / MACD>0.02 / BB width<=4ATR / weak rebreak guard
GBPJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2020-07-16 12:00:00,long,rebreak,11972,11978,11983,135.44,133.96,3.948083008558404,6,0.658013834759734,5,0.8333333333333334,12,0.7499999999999952,0.618,0.8,135.07,2020-07-16 16:00:00,135.06,133.86628363203158,137.47743273593682,2020-07-31 08:00:00,137.47743273593682,TP,66,1.1937163679684204,2.025131598095643,2.0083771993652144,Research_2015_2024,134.41,135.13,134.39,135.07,0.3748654718737523,0.8918918918918763,134.6602809470092,134.59892997441924,134.16127375737446,-0.2047291368948605,57.9092596320092,15.411983270660716,2.8442739120734375,0.9023559555544804,135.44,135.89,False,False,0.3627715294958638,1.0333376282165672,18.253968253968253,0.9189189189189167,2.9343860198744944,-0.051700326071483,-0.0565576875735414,0.0048573615020584,0.0403118901991127,94.87179487179462,53.94809064533792,55.81973956138077,0.2300385871178312,-5.128205128205377,55.93477162002265,28.0,52.0,134.57999999999998,134.7,134.925,134.64,134.6602809470092,0.7732440593573702,0.7110684780183594,2020-07,2020,GBPJPY|2020-07-16 16:00:00|rebreak|11972-11978,STRICT_A_PLUS,BB 0.85-0.95 / recovery<=16 / MACD>0.02 / BB width<=4ATR / weak rebreak guard
USDJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2022-10-06 12:00:00,long,rebreak,14075,14086,14089,145.318,143.521,4.55387820859191,11,0.41398892805381,3,0.2727272727272727,9,0.7918753478018818,0.618,0.8,144.944,2022-10-06 16:00:00,144.944,143.42234782279587,147.98730435440822,2022-10-14 12:00:00,147.98730435440822,TP,36,1.5216521772041176,2.0,1.993428195911128,Research_2015_2024,144.695,144.958,144.57,144.944,0.3946087088164947,0.6417525773195667,144.55869358739767,144.37721181520627,142.15050925246584,0.1790166026621681,58.77889618566064,13.39679452799039,2.8073200763323487,0.8785003323856654,145.318,145.318,False,False,0.489370303679141,0.8063601445567539,3.1746031746031744,0.9639175257731706,1.4622079723747838,0.0571671201226422,0.0194972024699798,0.0376699176526624,0.0388909282054172,99.0257480862902,85.89274345193161,112.24302410631996,0.7591135333537169,-0.9742519137098044,52.11896652250603,20.0,64.0,144.477,144.4195,144.44825,144.4085,144.55869358739767,0.7441066327184767,0.7018300190830872,2022-10,2022,USDJPY|2022-10-06 16:00:00|rebreak|14075-14086,STRICT_A_PLUS,BB 0.85-0.95 / recovery<=16 / MACD>0.02 / BB width<=4ATR / weak rebreak guard
CHFJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2024-08-07 00:00:00,long,rebreak,17020,17032,17035,172.195,166.803,4.411782049680807,12,0.3676485041400671,3,0.25,10,0.8690652818991118,0.618,0.8,171.489,2024-08-07 04:00:00,171.475,166.4974545345123,181.47209093097544,2024-09-12 12:00:00,166.4974545345123,SL,163,4.977545465487708,-1.0,-1.0040180446645146,Research_2015_2024,169.72,171.901,169.429,171.489,1.222181861950798,0.7156148867313914,170.2470799493955,171.51171396384814,174.5456706814611,-0.3044371446625128,57.04783393706901,26.360421252624924,3.2977227069516153,0.8650987092592426,171.595,175.159,False,False,0.8976679734998136,1.3615077044419606,99.6031746031746,0.8333333333333314,2.3777148806328743,-0.3883802447272728,-0.6571228081930514,0.2687425634657785,0.102487426679831,91.91839937230276,76.24137165832542,69.86142535164916,2.203323162010107,-8.081600627697236,52.00789125779445,12.0,60.0,170.22899999999998,169.499,170.9625,169.86399999999998,170.2470799493955,0.7540374900962364,0.8244306767379038,2024-08,2024,CHFJPY|2024-08-07 04:00:00|rebreak|17020-17032,STRICT_A_PLUS,BB 0.85-0.95 / recovery<=16 / MACD>0.02 / BB width<=4ATR / weak rebreak guard
XAUUSD,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2024-08-26 04:00:00,long,stagnation+rebreak,16976,16988,16994,2531.558,2470.705,5.367778850665489,12,0.447314904222124,6,0.5,11,0.8315120043383211,0.618,0.8,2521.305,2024-08-26 08:00:00,2521.305,2467.8708202725484,2628.1733594549028,2024-09-23 00:00:00,2628.1733594549028,TP,122,53.434179727451465,2.0,1.9934498854144456,Research_2015_2024,2509.725,2521.715,2508.585,2521.305,11.336718909806727,0.881949733434869,2505.1800856399504,2491.5513558239586,2439.525850217298,0.4584078487359374,62.35329625326743,15.51804504180807,3.917945099026859,0.8878838901609288,2519.795,2531.558,True,False,12.615329488043974,0.8986462795562308,28.57142857142857,0.9687738004569456,1.768324694251575,4.977115605236577,3.670825016852969,1.3062905883836078,1.196237910300909,99.19623603214995,92.10942127582454,100.91066226092036,1.5510744946723332,-0.803763967850044,42.34470065780559,8.0,56.0,2504.035,2501.1315,2502.5832499999997,2481.7865,2505.1800856399504,0.8555904157176542,0.9794862747567148,2024-08,2024,XAUUSD|2024-08-26 08:00:00|stagnation+rebreak|16976-16988,STRICT_A_PLUS,BB 0.85-0.95 / recovery<=16 / MACD>0.02 / BB width<=4ATR / weak rebreak guard
