parameter,value,bb_lo,bb_hi,recovery_max,macd_min,bb_width_max,use_guard,guard_macd_weak,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,research_trades,research_win_rate,research_total_r,research_avg_r,research_pf,research_max_dd_r,research_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak
BASE,BASE,0.75,0.95,16,0.0,4.0,True,0.03,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
bb_lo,0.6,0.6,0.95,16,0.0,4.0,True,0.03,23,69.56521739130434,22.35120539601785,0.9717915389572979,4.589465232124472,2.1522328484954576,2,19,63.1578947368421,17.632965304922262,0.9280508055222243,3.831745079509313,2.1522328484954576,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
bb_lo,0.65,0.65,0.95,16,0.0,4.0,True,0.03,23,69.56521739130434,22.35120539601785,0.9717915389572979,4.589465232124472,2.1522328484954576,2,19,63.1578947368421,17.632965304922262,0.9280508055222243,3.831745079509313,2.1522328484954576,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
bb_lo,0.7,0.7,0.95,16,0.0,4.0,True,0.03,21,76.19047619047619,24.480831843803006,1.1657538973239527,6.974922320160485,1.0539842287562833,2,17,70.58823529411765,19.76259175270742,1.1625053972180834,5.823363491929766,1.0539842287562833,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
bb_lo,0.75,0.75,0.95,16,0.0,4.0,True,0.03,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
bb_lo,0.8,0.8,0.95,16,0.0,4.0,True,0.03,15,80.0,19.987984194322202,1.33253227962148,10.609113740860183,1.0539842287562833,1,12,75.0,15.82420628457488,1.3186838570479067,8.607400354584422,1.0539842287562833,1,3,100.0,4.1637779097473215,1.3879259699157738,inf,0.0,0
bb_lo,0.85,0.85,0.95,16,0.0,4.0,True,0.03,12,83.33333333333334,18.836039264662258,1.569669938721855,19.356517237331104,1.0040180446645142,1,11,81.81818181818183,16.878190513331162,1.5343809557573784,17.448510790385484,1.0040180446645142,1,1,100.0,1.957848751331096,1.957848751331096,inf,0.0,0
bb_hi,0.85,0.75,0.85,16,0.0,4.0,True,0.03,8,75.0,6.654695781232621,0.8318369726540776,4.228495078737115,1.0072534745502764,1,5,60.0,3.894304441468128,0.7788608882936255,2.8893039047466633,1.0072534745502764,1,3,100.0,2.7603913397644932,0.9201304465881645,inf,0.0,0
bb_hi,0.9,0.75,0.9,16,0.0,4.0,True,0.03,14,78.57142857142857,15.595593056349193,1.113970932596371,6.087860308775893,1.0539842287562833,1,11,72.72727272727273,12.8352017165847,1.1668365196895183,5.187318374683893,1.0539842287562833,1,3,100.0,2.7603913397644932,0.9201304465881645,inf,0.0,0
bb_hi,0.95,0.75,0.95,16,0.0,4.0,True,0.03,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
