spec,candidate,month,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
REC10_T5_STAG_OR_REBREAK,Robust_075_105_width7,2025-04,1,100.0,0.07851650148486389,0.07851650148486389,inf,0.0,0
REC10_T5_STAG_OR_REBREAK,Robust_075_105_width7,2025-05,1,100.0,1.3913477061761155,1.3913477061761155,inf,0.0,0
REC10_T5_STAG_OR_REBREAK,Robust_075_105_width7,2025-06,2,100.0,3.277699519350941,1.6388497596754705,inf,0.0,0
REC10_T5_STAG_OR_REBREAK,Robust_075_105_width7,2025-08,1,100.0,1.990450799977167,1.990450799977167,inf,0.0,0
REC10_T5_STAG_OR_REBREAK,Robust_075_105_width7,2025-10,1,100.0,1.9924604797318843,1.9924604797318843,inf,0.0,0
REC10_T5_STAG_OR_REBREAK,Robust_075_105_width7,2025-11,2,50.0,-0.3014171567943791,-0.15070857839718954,0.701765607881109,1.0106720242855802,1
REC10_T5_STAG_OR_REBREAK,Robust_075_105_width7,2026-01,1,0.0,-1.010000336480621,-1.010000336480621,0.0,0.0,1
REC10_T5_STAG_OR_REBREAK,Robust_075_105_width7,2026-02,1,100.0,0.5544621813482675,0.5544621813482675,inf,0.0,0
REC10_T5_STAG_OR_REBREAK,Robust_075_105_width7,2026-03,2,50.0,-0.7889706669368113,-0.39448533346840564,0.21452393600404532,1.0044490253758702,1
REC10_T5_STAG_OR_REBREAK,Robust_075_105_width7,2026-04,1,0.0,-1.005824042064217,-1.005824042064217,0.0,0.0,1
REC10_T5_STAG_OR_REBREAK,Strict_075_100_width7,2025-01,2,50.0,0.9826078209419118,0.4913039104709559,1.976117603725021,0.0,1
REC10_T5_STAG_OR_REBREAK,Strict_075_100_width7,2025-03,3,33.33333333333333,-0.8235295866091839,-0.2745098622030613,0.593955029811447,1.0234003210805398,1
REC10_T5_STAG_OR_REBREAK,Strict_075_100_width7,2025-05,1,100.0,1.3913477061761155,1.3913477061761155,inf,0.0,0
REC10_T5_STAG_OR_REBREAK,Strict_075_100_width7,2025-06,2,100.0,3.277699519350941,1.6388497596754705,inf,0.0,0
REC10_T5_STAG_OR_REBREAK,Strict_075_100_width7,2025-08,1,100.0,1.990450799977167,1.990450799977167,inf,0.0,0
REC10_T5_STAG_OR_REBREAK,Strict_075_100_width7,2025-11,2,50.0,-0.3014171567943791,-0.15070857839718954,0.701765607881109,1.0106720242855802,1
REC10_T5_STAG_OR_REBREAK,Strict_075_100_width7,2026-02,1,100.0,0.5544621813482675,0.5544621813482675,inf,0.0,0
REC10_T5_STAG_OR_REBREAK,Strict_075_100_width7,2026-03,2,50.0,-0.7889706669368113,-0.39448533346840564,0.21452393600404532,1.0044490253758702,1
REC10_T5_STAG_OR_REBREAK,Strict_075_100_width7,2026-04,1,0.0,-1.005824042064217,-1.005824042064217,0.0,0.0,1
REC15_T5_STAG_OR_REBREAK,Current_060_110,2025-01,3,33.33333333333333,-0.020354006626436494,-0.006784668875478832,0.9898716675735029,1.0029618275683483,2
REC15_T5_STAG_OR_REBREAK,Current_060_110,2025-03,3,33.33333333333333,-0.8235295866091839,-0.2745098622030613,0.593955029811447,1.0234003210805398,1
REC15_T5_STAG_OR_REBREAK,Current_060_110,2025-04,2,100.0,2.076549484192462,1.038274742096231,inf,0.0,0
REC15_T5_STAG_OR_REBREAK,Current_060_110,2025-05,2,50.0,0.3879023864298137,0.19395119321490684,1.386570527358567,1.0034453197463018,1
REC15_T5_STAG_OR_REBREAK,Current_060_110,2025-06,2,100.0,3.277699519350941,1.6388497596754705,inf,0.0,0
REC15_T5_STAG_OR_REBREAK,Current_060_110,2025-07,1,100.0,0.3936709866206632,0.3936709866206632,inf,0.0,0
REC15_T5_STAG_OR_REBREAK,Current_060_110,2025-08,2,50.0,1.8414067200089776,0.9207033600044888,13.354779340460835,0.14904407996818936,1
REC15_T5_STAG_OR_REBREAK,Current_060_110,2025-10,2,50.0,0.9854783119111838,0.4927391559555919,1.978645246562752,0.0,1
REC15_T5_STAG_OR_REBREAK,Current_060_110,2025-11,1,100.0,0.7092548674912011,0.7092548674912011,inf,0.0,0
REC15_T5_STAG_OR_REBREAK,Current_060_110,2026-01,3,66.66666666666666,2.979243800459849,0.9930812668199497,3.949745354383862,0.0,1
REC15_T5_STAG_OR_REBREAK,Current_060_110,2026-02,2,50.0,-0.45226084779298836,-0.22613042389649418,0.5507594097864523,0.0,1
REC15_T5_STAG_OR_REBREAK,Current_060_110,2026-03,2,100.0,1.1969933453693047,0.5984966726846523,inf,0.0,0
REC15_T5_STAG_OR_REBREAK,Current_060_110,2026-04,2,0.0,-2.0162025134292705,-1.0081012567146352,0.0,1.0103784713650534,2
REC15_T5_STAG_OR_REBREAK,Robust_075_105_width7,2025-01,3,33.33333333333333,-0.020354006626436494,-0.006784668875478832,0.9898716675735029,1.0029618275683483,2
REC15_T5_STAG_OR_REBREAK,Robust_075_105_width7,2025-03,3,33.33333333333333,-0.8235295866091839,-0.2745098622030613,0.593955029811447,1.0234003210805398,1
REC15_T5_STAG_OR_REBREAK,Robust_075_105_width7,2025-04,1,100.0,0.07851650148486389,0.07851650148486389,inf,0.0,0
REC15_T5_STAG_OR_REBREAK,Robust_075_105_width7,2025-05,1,100.0,1.3913477061761155,1.3913477061761155,inf,0.0,0
REC15_T5_STAG_OR_REBREAK,Robust_075_105_width7,2025-06,2,100.0,3.277699519350941,1.6388497596754705,inf,0.0,0
REC15_T5_STAG_OR_REBREAK,Robust_075_105_width7,2025-08,2,50.0,1.8414067200089776,0.9207033600044888,13.354779340460835,0.14904407996818936,1
REC15_T5_STAG_OR_REBREAK,Robust_075_105_width7,2025-10,1,100.0,1.9924604797318843,1.9924604797318843,inf,0.0,0
REC15_T5_STAG_OR_REBREAK,Robust_075_105_width7,2025-11,1,100.0,0.7092548674912011,0.7092548674912011,inf,0.0,0
REC15_T5_STAG_OR_REBREAK,Robust_075_105_width7,2026-01,2,50.0,0.9819210731830152,0.4909605365915076,1.972198758472251,0.0,1
REC15_T5_STAG_OR_REBREAK,Robust_075_105_width7,2026-02,1,100.0,0.5544621813482675,0.5544621813482675,inf,0.0,0
REC15_T5_STAG_OR_REBREAK,Robust_075_105_width7,2026-03,2,100.0,1.1969933453693047,0.5984966726846523,inf,0.0,0
REC15_T5_STAG_OR_REBREAK,Robust_075_105_width7,2026-04,2,0.0,-2.0162025134292705,-1.0081012567146352,0.0,1.0103784713650534,2
REC15_T5_STAG_OR_REBREAK,Strict_075_100_width7,2025-01,2,50.0,0.9826078209419118,0.4913039104709559,1.976117603725021,0.0,1
REC15_T5_STAG_OR_REBREAK,Strict_075_100_width7,2025-03,3,33.33333333333333,-0.8235295866091839,-0.2745098622030613,0.593955029811447,1.0234003210805398,1
REC15_T5_STAG_OR_REBREAK,Strict_075_100_width7,2025-05,1,100.0,1.3913477061761155,1.3913477061761155,inf,0.0,0
REC15_T5_STAG_OR_REBREAK,Strict_075_100_width7,2025-06,2,100.0,3.277699519350941,1.6388497596754705,inf,0.0,0
REC15_T5_STAG_OR_REBREAK,Strict_075_100_width7,2025-08,2,50.0,1.8414067200089776,0.9207033600044888,13.354779340460835,0.14904407996818936,1
REC15_T5_STAG_OR_REBREAK,Strict_075_100_width7,2025-11,1,100.0,0.7092548674912011,0.7092548674912011,inf,0.0,0
REC15_T5_STAG_OR_REBREAK,Strict_075_100_width7,2026-02,1,100.0,0.5544621813482675,0.5544621813482675,inf,0.0,0
REC15_T5_STAG_OR_REBREAK,Strict_075_100_width7,2026-03,2,100.0,1.1969933453693047,0.5984966726846523,inf,0.0,0
REC15_T5_STAG_OR_REBREAK,Strict_075_100_width7,2026-04,2,0.0,-2.0162025134292705,-1.0081012567146352,0.0,1.0103784713650534,2
